timestamp_ms,mse,threshold,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
91596,0.005689,0.002858,0.0501,0.0167,0.0529,-0.0338,0.0456,0.0568,1.0349,0.0983,1.0395,1.2632
92867,0.029335,0.002858,0.0543,0.0265,0.0604,-0.0340,0.0478,0.0586,1.0404,0.1198,1.0472,1.4477
95014,0.014336,0.002858,0.0506,0.0202,0.0545,-0.0353,0.0564,0.0665,1.0451,0.0879,1.0488,1.3536
97845,0.015390,0.002858,0.0490,0.0059,0.0493,-0.1040,0.1822,0.2098,1.0534,0.0617,1.0552,1.2212
101276,0.008300,0.002858,0.0540,0.0248,0.0594,-0.0310,0.0648,0.0719,1.0506,0.0542,1.0520,1.2990
102563,0.003194,0.002858,0.0537,0.0015,0.0538,-0.0291,0.0018,0.0291,1.0414,0.0019,1.0414,1.0462
19863,0.010334,0.002858,0.0579,0.0211,0.0616,-0.0267,0.0268,0.0378,1.0447,0.0567,1.0462,1.2758
71182,0.030986,0.007862,0.0526,0.0354,0.0634,-0.0296,0.0494,0.0576,1.0919,0.1532,1.1026,1.6144
73504,0.065746,0.007862,0.0436,0.0480,0.0648,-0.0103,0.0599,0.0608,1.0415,0.1923,1.0592,1.8290
3770,0.063360,0.007862,0.0637,0.0381,0.0742,-0.0326,0.0635,0.0713,1.1419,0.2025,1.1597,1.7931
6441,0.043167,0.007862,0.0568,0.0174,0.0594,-0.0244,0.0488,0.0546,1.0718,0.1366,1.0805,1.6902
33089,0.012300,0.007862,0.0554,0.0155,0.0575,-0.0358,0.0367,0.0512,1.0462,0.1044,1.0514,1.4266
789,0.504803,0.007862,0.0907,0.0019,0.0908,-0.9886,0.0020,0.9886,-0.2015,0.0018,0.2015,1.0177
1047,0.504859,0.007862,0.0911,0.0017,0.0912,-0.9885,0.0020,0.9885,-0.2025,0.0025,0.2025,1.0186
1307,0.504610,0.007862,0.0914,0.0013,0.0914,-0.9880,0.0019,0.9880,-0.2024,0.0026,0.2024,1.0164
1570,0.504730,0.007862,0.0904,0.0015,0.0904,-0.9884,0.0025,0.9884,-0.2017,0.0019,0.2017,1.0182
1832,0.504741,0.007862,0.0907,0.0013,0.0907,-0.9882,0.0019,0.9882,-0.2031,0.0016,0.2031,1.0171
2098,0.504713,0.007862,0.0902,0.0015,0.0902,-0.9882,0.0021,0.9882,-0.2028,0.0025,0.2029,1.0161
2360,0.504677,0.007862,0.0905,0.0012,0.0905,-0.9880,0.0017,0.9880,-0.2036,0.0017,0.2036,1.0165
2627,0.504425,0.007862,0.0909,0.0015,0.0909,-0.9876,0.0034,0.9876,-0.2034,0.0025,0.2034,1.0212
2887,0.505047,0.007862,0.0886,0.0021,0.0886,-0.9891,0.0098,0.9891,-0.2044,0.0040,0.2044,1.0288
3147,0.503917,0.007862,0.0891,0.0018,0.0892,-0.9864,0.0040,0.9864,-0.2039,0.0024,0.2040,1.0192
3408,0.505043,0.007862,0.0885,0.0020,0.0886,-0.9887,0.0054,0.9887,-0.2056,0.0030,0.2056,1.0233
3678,0.504926,0.007862,0.0887,0.0014,0.0887,-0.9884,0.0036,0.9884,-0.2057,0.0028,0.2057,1.0218
3948,0.504308,0.007862,0.0880,0.0015,0.0880,-0.9869,0.0025,0.9869,-0.2062,0.0019,0.2062,1.0161
4217,0.504890,0.007862,0.0889,0.0023,0.0890,-0.9885,0.0079,0.9886,-0.2047,0.0040,0.2048,1.0239
4486,0.505285,0.007862,0.0890,0.0014,0.0890,-0.9897,0.0070,0.9897,-0.2032,0.0034,0.2032,1.0252
4752,0.504278,0.007862,0.0862,0.0028,0.0862,-0.9871,0.0069,0.9871,-0.2063,0.0035,0.2064,1.0237
931,0.206779,0.007862,-0.7771,0.0150,0.7773,-0.0107,0.0406,0.0420,0.6130,0.0164,0.6132,1.0061
1193,0.210533,0.007862,-0.7806,0.0046,0.7806,-0.0018,0.0135,0.0136,0.6025,0.0097,0.6025,0.9942
1453,0.211108,0.007862,-0.7808,0.0065,0.7808,0.0021,0.0041,0.0046,0.6024,0.0104,0.6025,0.9963
1710,0.210938,0.007862,-0.7808,0.0020,0.7808,0.0013,0.0031,0.0033,0.6022,0.0049,0.6022,0.9929
1970,0.211503,0.007862,-0.7819,0.0014,0.7819,0.0016,0.0034,0.0038,0.6014,0.0037,0.6014,0.9923
2235,0.210859,0.007862,-0.7809,0.0013,0.7809,0.0001,0.0030,0.0030,0.6027,0.0033,0.6027,0.9908
2504,0.211581,0.007862,-0.7819,0.0024,0.7819,0.0011,0.0025,0.0027,0.6018,0.0040,0.6018,0.9935
2768,0.211150,0.007862,-0.7810,0.0021,0.7810,0.0008,0.0028,0.0029,0.6021,0.0026,0.6021,0.9918
3043,0.210181,0.007862,-0.7798,0.0020,0.7798,0.0005,0.0020,0.0021,0.6043,0.0027,0.6043,0.9910
3311,0.211551,0.007862,-0.7816,0.0015,0.7816,0.0013,0.0026,0.0029,0.6011,0.0029,0.6011,0.9909
3570,0.211523,0.007862,-0.7819,0.0019,0.7819,0.0018,0.0024,0.0030,0.6016,0.0050,0.6016,0.9918
3830,0.211175,0.007862,-0.7802,0.0045,0.7802,0.0019,0.0054,0.0057,0.6002,0.0113,0.6003,1.0027
4096,0.210563,0.007862,-0.7813,0.0041,0.7813,-0.0011,0.0044,0.0045,0.6054,0.0060,0.6054,0.9992
4366,0.211575,0.007862,-0.7816,0.0035,0.7816,0.0018,0.0039,0.0042,0.6013,0.0051,0.6013,0.9932
4644,0.212025,0.007862,-0.7818,0.0029,0.7818,0.0006,0.0027,0.0027,0.6000,0.0034,0.6000,0.9901
4913,0.210982,0.007862,-0.7809,0.0030,0.7809,-0.0012,0.0022,0.0025,0.6029,0.0050,0.6029,0.9951
5187,0.211820,0.007862,-0.7822,0.0025,0.7822,0.0017,0.0020,0.0027,0.6012,0.0042,0.6012,0.9923
5450,0.211949,0.007862,-0.7823,0.0016,0.7823,0.0000,0.0026,0.0026,0.6007,0.0040,0.6007,0.9915
5707,0.209719,0.007862,-0.7792,0.0026,0.7792,0.0007,0.0029,0.0030,0.6052,0.0031,0.6052,0.9917
5970,0.211505,0.007862,-0.7816,0.0019,0.7816,0.0019,0.0029,0.0035,0.6012,0.0033,0.6012,0.9906
6240,0.211199,0.007862,-0.7811,0.0013,0.7811,0.0017,0.0022,0.0028,0.6017,0.0020,0.6017,0.9884
6504,0.211091,0.007862,-0.7811,0.0015,0.7811,0.0011,0.0018,0.0021,0.6025,0.0021,0.6025,0.9902
6770,0.212166,0.007862,-0.7824,0.0018,0.7824,0.0004,0.0018,0.0018,0.6001,0.0032,0.6001,0.9910
7033,0.211068,0.007862,-0.7808,0.0026,0.7808,0.0032,0.0027,0.0042,0.6016,0.0040,0.6017,0.9912
7299,0.209439,0.007862,-0.7796,0.0034,0.7796,-0.0001,0.0060,0.0060,0.6066,0.0057,0.6066,0.9932
7565,0.212551,0.007862,-0.7820,0.0032,0.7820,0.0008,0.0029,0.0030,0.5983,0.0039,0.5983,0.9946
7832,0.210518,0.007862,-0.7809,0.0034,0.7809,0.0009,0.0036,0.0037,0.6048,0.0039,0.6048,0.9935
8103,0.211427,0.007862,-0.7811,0.0018,0.7811,0.0021,0.0026,0.0034,0.6007,0.0035,0.6008,0.9909
8377,0.210989,0.007862,-0.7810,0.0021,0.7810,0.0006,0.0028,0.0028,0.6027,0.0038,0.6027,0.9910
8645,0.209161,0.007862,-0.7787,0.0038,0.7787,0.0002,0.0042,0.0042,0.6066,0.0080,0.6067,0.9943
8908,0.212704,0.007862,-0.7830,0.0048,0.7830,0.0027,0.0036,0.0045,0.5989,0.0084,0.5989,0.9941
9173,0.211268,0.007862,-0.7810,0.0033,0.7810,-0.0017,0.0031,0.0035,0.6017,0.0069,0.6017,0.9956
9430,0.210475,0.007862,-0.7808,0.0027,0.7808,0.0020,0.0042,0.0047,0.6043,0.0035,0.6043,0.9925
9693,0.211058,0.007862,-0.7801,0.0041,0.7802,0.0008,0.0036,0.0037,0.6013,0.0060,0.6013,0.9926
9954,0.209976,0.007862,-0.7799,0.0043,0.7799,-0.0005,0.0023,0.0023,0.6061,0.0046,0.6062,0.9946
10225,0.211596,0.007862,-0.7814,0.0034,0.7814,0.0021,0.0026,0.0034,0.6010,0.0038,0.6010,0.9918
10493,0.210187,0.007862,-0.7800,0.0019,0.7800,-0.0010,0.0027,0.0029,0.6043,0.0036,0.6043,0.9906
10751,0.211256,0.007862,-0.7815,0.0039,0.7815,0.0017,0.0020,0.0026,0.6029,0.0068,0.6029,0.9991
11020,0.209674,0.007862,-0.7790,0.0030,0.7790,-0.0002,0.0020,0.0020,0.6052,0.0052,0.6053,0.9961
11283,0.210739,0.007862,-0.7798,0.0022,0.7798,0.0006,0.0034,0.0034,0.6017,0.0028,0.6017,0.9892
11540,0.210482,0.007862,-0.7805,0.0020,0.7805,0.0004,0.0029,0.0029,0.6040,0.0026,0.6040,0.9911
11803,0.210361,0.007862,-0.7796,0.0025,0.7796,0.0007,0.0030,0.0031,0.6030,0.0030,0.6030,0.9897
12080,0.210600,0.007862,-0.7804,0.0030,0.7804,0.0010,0.0019,0.0022,0.6034,0.0069,0.6035,0.9994
12341,0.210718,0.007862,-0.7803,0.0029,0.7803,0.0006,0.0031,0.0032,0.6030,0.0028,0.6030,0.9920
12601,0.209974,0.007862,-0.7794,0.0019,0.7794,-0.0005,0.0037,0.0037,0.6043,0.0021,0.6043,0.9894
12860,0.210743,0.007862,-0.7808,0.0033,0.7808,0.0011,0.0032,0.0034,0.6038,0.0033,0.6038,0.9921
13120,0.210913,0.007862,-0.7799,0.0029,0.7799,0.0007,0.0024,0.0025,0.6013,0.0055,0.6013,0.9927
13380,0.210221,0.007862,-0.7802,0.0027,0.7802,-0.0007,0.0018,0.0020,0.6049,0.0056,0.6050,0.9957
13640,0.210866,0.007862,-0.7806,0.0038,0.7806,0.0025,0.0025,0.0035,0.6025,0.0082,0.6025,0.9974
13899,0.210811,0.007862,-0.7803,0.0024,0.7803,0.0003,0.0030,0.0030,0.6023,0.0035,0.6023,0.9910
14167,0.209066,0.007862,-0.7806,0.0027,0.7806,0.0006,0.0034,0.0034,0.6027,0.0034,0.6027,0.9910
14430,0.209358,0.007862,-0.7801,0.0038,0.7802,0.0012,0.0026,0.0029,0.6011,0.0070,0.6011,0.9964
14697,0.209121,0.007862,-0.7809,0.0022,0.7810,0.0005,0.0023,0.0023,0.6033,0.0035,0.6033,0.9946
14962,0.209171,0.007862,-0.7813,0.0018,0.7813,-0.0002,0.0023,0.0023,0.6035,0.0026,0.6035,0.9911
15231,0.208680,0.007862,-0.7802,0.0017,0.7802,0.0011,0.0017,0.0020,0.6034,0.0036,0.6034,0.9908
15496,0.208810,0.007862,-0.7804,0.0015,0.7804,0.0004,0.0017,0.0017,0.6034,0.0019,0.6034,0.9889
15765,0.208718,0.007862,-0.7802,0.0013,0.7802,0.0008,0.0018,0.0019,0.6033,0.0021,0.6033,0.9900
16043,0.208889,0.007862,-0.7805,0.0014,0.7805,0.0004,0.0017,0.0018,0.6032,0.0026,0.6032,0.9896
16315,0.208853,0.007862,-0.7806,0.0017,0.7806,0.0002,0.0019,0.0019,0.6035,0.0025,0.6035,0.9896
16582,0.208903,0.007862,-0.7802,0.0018,0.7802,0.0003,0.0015,0.0015,0.6029,0.0020,0.6029,0.9904
16849,0.208773,0.007862,-0.7807,0.0011,0.7807,0.0008,0.0021,0.0022,0.6038,0.0022,0.6038,0.9899
17112,0.209196,0.007862,-0.7807,0.0015,0.7807,0.0003,0.0014,0.0014,0.6024,0.0018,0.6024,0.9889
17376,0.208712,0.007862,-0.7803,0.0016,0.7803,0.0009,0.0018,0.0020,0.6036,0.0021,0.6036,0.9910
17652,0.208813,0.007862,-0.7805,0.0013,0.7805,0.0005,0.0015,0.0016,0.6035,0.0024,0.6035,0.9902
17910,0.208786,0.007862,-0.7801,0.0018,0.7801,0.0009,0.0018,0.0020,0.6030,0.0021,0.6030,0.9891
18170,0.208757,0.007862,-0.7805,0.0014,0.7805,0.0011,0.0014,0.0017,0.6038,0.0023,0.6038,0.9909
18430,0.208585,0.007862,-0.7801,0.0011,0.7801,0.0006,0.0020,0.0021,0.6036,0.0021,0.6036,0.9901
18691,0.208884,0.007862,-0.7804,0.0018,0.7804,-0.0004,0.0016,0.0016,0.6033,0.0025,0.6033,0.9892
18959,0.208754,0.007862,-0.7806,0.0011,0.7806,0.0007,0.0022,0.0023,0.6037,0.0024,0.6037,0.9895
19230,0.208587,0.007862,-0.7795,0.0016,0.7795,0.0006,0.0020,0.0021,0.6029,0.0019,0.6029,0.9901
19490,0.208817,0.007862,-0.7802,0.0017,0.7802,0.0009,0.0014,0.0017,0.6032,0.0036,0.6032,0.9930
19756,0.208732,0.007862,-0.7806,0.0017,0.7806,0.0001,0.0026,0.0026,0.6041,0.0037,0.6041,0.9926
20021,0.209104,0.007862,-0.7804,0.0032,0.7804,0.0012,0.0028,0.0030,0.6023,0.0053,0.6023,0.9913
20291,0.208938,0.007862,-0.7805,0.0023,0.7805,0.0011,0.0040,0.0042,0.6027,0.0037,0.6027,0.9906
20554,0.208736,0.007862,-0.7802,0.0018,0.7802,0.0007,0.0033,0.0034,0.6031,0.0035,0.6031,0.9911
928,0.237701,0.007862,-0.8048,0.0980,0.8107,0.0465,0.1872,0.1929,0.5858,0.1908,0.6160,1.1922
1190,0.187729,0.007862,-0.7375,0.0860,0.7425,-0.1952,0.0987,0.2187,0.7171,0.1066,0.7250,1.2214
1444,0.227700,0.007862,-0.7827,0.0999,0.7891,0.0359,0.1996,0.2028,0.6008,0.1612,0.6220,1.2160
1704,0.224318,0.007862,-0.7672,0.0938,0.7729,-0.0197,0.2135,0.2144,0.5908,0.1693,0.6146,1.2211
1967,0.229394,0.007862,-0.7837,0.1015,0.7902,0.0145,0.2165,0.2169,0.6091,0.1690,0.6321,1.2460
2224,0.220551,0.007862,-0.7765,0.0722,0.7798,0.0112,0.2137,0.2140,0.5983,0.1470,0.6161,1.1741
2488,0.226453,0.007862,-0.7756,0.1068,0.7829,0.0023,0.2204,0.2204,0.5974,0.1540,0.6169,1.1828
2759,0.230936,0.007862,-0.8005,0.0973,0.8064,0.0099,0.1745,0.1748,0.6120,0.1300,0.6256,1.1901
3026,0.220067,0.007862,-0.7832,0.0568,0.7853,-0.0083,0.1802,0.1804,0.5941,0.1407,0.6105,1.1478
3295,0.239618,0.007862,-0.8123,0.0902,0.8172,0.0029,0.1508,0.1508,0.5886,0.1101,0.5988,1.1786
3558,0.226532,0.007862,-0.7833,0.0946,0.7890,-0.0017,0.1763,0.1763,0.5966,0.1056,0.6059,1.1722
3815,0.231507,0.007862,-0.7960,0.0912,0.8012,0.0330,0.1778,0.1808,0.5949,0.0975,0.6028,1.1742
4080,0.216365,0.007862,-0.7677,0.0897,0.7729,-0.0039,0.2004,0.2005,0.6117,0.0834,0.6173,1.1510
4347,0.226113,0.007862,-0.7958,0.0755,0.7994,0.0446,0.1696,0.1753,0.6045,0.0646,0.6079,1.1499
4606,0.216616,0.007862,-0.7786,0.0760,0.7823,0.0088,0.1584,0.1586,0.6123,0.0783,0.6173,1.1374
4876,0.212230,0.007862,-0.7717,0.0807,0.7760,0.0233,0.1835,0.1850,0.6271,0.0666,0.6306,1.1430
5135,0.221644,0.007862,-0.7982,0.0687,0.8012,0.0173,0.1375,0.1386,0.6190,0.0710,0.6231,1.1316
5395,0.206679,0.007862,-0.7503,0.0516,0.7521,0.0129,0.1407,0.1413,0.5837,0.0541,0.5862,1.0619
5654,0.215884,0.007862,-0.7932,0.0748,0.7967,0.0416,0.1030,0.1111,0.6350,0.0755,0.6395,1.1318
5917,0.209729,0.007862,-0.7827,0.0516,0.7844,0.0052,0.0907,0.0909,0.6275,0.0672,0.6310,1.1006
6174,0.215139,0.007862,-0.7828,0.0634,0.7853,0.0232,0.0950,0.0978,0.6099,0.0664,0.6135,1.1041
6446,0.210672,0.007862,-0.7744,0.0675,0.7773,0.0101,0.1039,0.1044,0.6193,0.0595,0.6222,1.1083
6704,0.208629,0.007862,-0.7672,0.0540,0.7691,-0.0045,0.0933,0.0935,0.6078,0.0423,0.6092,1.0886
6963,0.213573,0.007862,-0.7696,0.0601,0.7720,-0.0275,0.0600,0.0660,0.5975,0.0346,0.5985,1.0905
7227,0.214836,0.007862,-0.7735,0.0679,0.7765,-0.0125,0.0756,0.0766,0.6052,0.0307,0.6060,1.1084
7496,0.214463,0.007862,-0.7780,0.0681,0.7810,-0.0049,0.0704,0.0706,0.6130,0.0315,0.6138,1.0965
7764,0.211474,0.007862,-0.7737,0.0550,0.7757,-0.0050,0.0708,0.0709,0.6093,0.0197,0.6096,1.0754
8024,0.208290,0.007862,-0.7653,0.0571,0.7674,0.0017,0.0775,0.0775,0.6105,0.0264,0.6110,1.0964
8288,0.202654,0.007862,-0.7646,0.0343,0.7653,-0.0049,0.0618,0.0620,0.6139,0.0415,0.6153,1.0182
8562,0.209200,0.007862,-0.7767,0.0267,0.7772,0.0008,0.0375,0.0375,0.6080,0.0191,0.6083,1.0276
8830,0.215098,0.007862,-0.7835,0.0465,0.7849,0.0153,0.0615,0.0634,0.6057,0.0211,0.6060,1.0812
9099,0.215343,0.007862,-0.7846,0.0479,0.7860,0.0182,0.0401,0.0440,0.6064,0.0218,0.6068,1.0617
9364,0.210260,0.007862,-0.7765,0.0318,0.7771,0.0090,0.0207,0.0226,0.6104,0.0126,0.6105,1.0627
9627,0.209412,0.007862,-0.7754,0.0343,0.7761,0.0011,0.0338,0.0339,0.6110,0.0148,0.6112,1.0496
9884,0.209255,0.007862,-0.7752,0.0348,0.7760,0.0149,0.0626,0.0643,0.6074,0.0133,0.6075,1.0424
10150,0.206490,0.007862,-0.7755,0.0078,0.7756,0.0084,0.0231,0.0246,0.6105,0.0079,0.6105,1.0038
10417,0.206330,0.007862,-0.7759,0.0021,0.7759,0.0091,0.0103,0.0137,0.6112,0.0036,0.6112,0.9910
10676,0.206256,0.007862,-0.7760,0.0029,0.7761,0.0087,0.0123,0.0151,0.6118,0.0056,0.6118,0.9942
10944,0.205920,0.007862,-0.7747,0.0017,0.7747,0.0068,0.0082,0.0107,0.6117,0.0028,0.6117,0.9899
11209,0.205735,0.007862,-0.7752,0.0017,0.7752,0.0090,0.0033,0.0096,0.6131,0.0025,0.6131,0.9916
11477,0.205933,0.007862,-0.7750,0.0020,0.7750,0.0062,0.0039,0.0073,0.6126,0.0038,0.6126,0.9916
11747,0.205978,0.007862,-0.7755,0.0021,0.7755,0.0096,0.0055,0.0111,0.6124,0.0030,0.6124,0.9911
12017,0.261785,0.007862,-0.8054,0.0826,0.8097,0.3131,0.2697,0.4132,0.5815,0.0456,0.5833,1.3354
12279,0.219773,0.007862,-0.7894,0.0628,0.7919,0.0079,0.1739,0.1741,0.6174,0.1040,0.6261,1.1784
12544,0.202546,0.007862,-0.7348,0.0954,0.7410,-0.0563,0.1744,0.1833,0.6347,0.0986,0.6423,1.2254
12807,0.226391,0.007862,-0.7800,0.0919,0.7854,0.0499,0.1577,0.1654,0.5870,0.2051,0.6218,1.2200
13065,0.241001,0.007862,-0.8076,0.1056,0.8145,-0.0054,0.2129,0.2130,0.5955,0.2110,0.6318,1.2159
13337,0.246162,0.007862,-0.8063,0.1180,0.8148,0.0113,0.2654,0.2656,0.6076,0.2000,0.6397,1.2659
13606,0.248358,0.007862,-0.7979,0.1134,0.8059,-0.0199,0.3027,0.3034,0.6101,0.2677,0.6662,1.3191
13872,0.262779,0.007862,-0.7957,0.1274,0.8058,-0.0385,0.3647,0.3667,0.5988,0.3012,0.6702,1.3659
14147,0.263070,0.007862,-0.7886,0.1513,0.8030,-0.0976,0.3434,0.3570,0.5992,0.3024,0.6712,1.3491
14404,0.304983,0.007862,-0.8661,0.1458,0.8782,0.0463,0.3984,0.4011,0.5607,0.2956,0.6339,1.3431
14666,0.163513,0.007862,-0.6424,0.0909,0.6488,-0.3730,0.2274,0.4368,0.9334,0.0524,0.9349,1.4143
14930,0.252156,0.007862,-0.7810,0.1600,0.7973,-0.1321,0.4125,0.4332,0.7151,0.3148,0.7813,1.3813
15204,0.245620,0.007862,-0.7962,0.1559,0.8113,0.0993,0.4392,0.4503,0.7380,0.2825,0.7903,1.3986
15464,0.426482,0.007862,-0.7545,0.1855,0.7769,-0.2327,0.6060,0.6491,0.6232,0.3507,0.7151,2.1528
15722,0.277611,0.007862,-0.7625,0.1829,0.7841,-0.2045,0.4522,0.4963,0.6890,0.3338,0.7656,1.5308
15989,0.306754,0.007862,-0.7497,0.2009,0.7762,-0.2050,0.4899,0.5311,0.6401,0.3480,0.7286,1.6489
16254,0.371225,0.007862,-0.7955,0.1745,0.8144,-0.4044,0.4719,0.6215,0.6050,0.3483,0.6981,1.7514
16517,0.334713,0.007862,-0.7633,0.1996,0.7890,-0.2658,0.5317,0.5944,0.5538,0.3541,0.6573,1.5491
16775,0.426970,0.007862,-0.7849,0.1596,0.8009,-0.3992,0.5224,0.6574,0.5675,0.3685,0.6766,2.0135
17038,0.443996,0.007862,-0.7881,0.1916,0.8110,-0.2745,0.6981,0.7501,0.5976,0.3180,0.6770,2.0293
17306,0.466776,0.007862,-0.7792,0.1884,0.8017,-0.5269,0.5849,0.7872,0.5765,0.3404,0.6695,2.0275
17564,0.513167,0.007862,-0.7535,0.2234,0.7859,-0.2632,0.6254,0.6785,0.5832,0.3461,0.6782,2.3856
17835,0.294202,0.007862,-0.7261,0.2370,0.7638,0.0503,0.5026,0.5051,0.5897,0.3601,0.6910,1.6083
18098,0.581750,0.007862,-0.7471,0.2409,0.7849,-0.0857,0.8457,0.8500,0.6021,0.3675,0.7053,2.4531
18365,0.351114,0.007862,-0.7913,0.1700,0.8094,-0.1327,0.6028,0.6173,0.5268,0.3503,0.6327,1.5868
18623,0.340844,0.007862,-0.7655,0.1413,0.7785,-0.1946,0.5096,0.5455,0.5827,0.3597,0.6848,1.7921
18887,0.416411,0.007862,-0.7717,0.1797,0.7923,-0.0709,0.5998,0.6039,0.5838,0.3467,0.6790,2.1123
19153,0.478274,0.007862,-0.7489,0.2105,0.7779,0.0912,0.8146,0.8197,0.5796,0.3166,0.6604,2.1294
19417,0.381239,0.007862,-0.7199,0.1952,0.7459,-0.0481,0.6901,0.6918,0.6341,0.3170,0.7090,2.0018
19674,0.396259,0.007862,-0.7763,0.2411,0.8129,-0.1278,0.7086,0.7201,0.5918,0.3480,0.6866,1.8117
19939,0.361744,0.007862,-0.7959,0.1907,0.8185,-0.1744,0.6541,0.6770,0.6072,0.3537,0.7027,1.6603
20206,0.357582,0.007862,-0.7578,0.1342,0.7696,-0.2059,0.7340,0.7623,0.5740,0.3208,0.6576,1.5869
20470,0.325309,0.007862,-0.7820,0.1739,0.8011,-0.1164,0.5160,0.5290,0.5848,0.3406,0.6768,1.6621
20739,0.315841,0.007862,-0.7474,0.1496,0.7622,-0.2915,0.4856,0.5663,0.5838,0.3694,0.6909,1.6097
21008,1.033301,0.007862,-0.7383,0.2237,0.7714,-0.2619,0.9373,0.9732,0.5728,0.3187,0.6555,3.2739
21266,0.516725,0.007862,-0.8031,0.2220,0.8332,-0.1800,0.5876,0.6145,0.6060,0.3735,0.7119,2.3966
21543,0.312537,0.007862,-0.7247,0.2471,0.7657,-0.2247,0.4953,0.5439,0.5533,0.3552,0.6575,1.5094
21808,0.317481,0.007862,-0.7492,0.2159,0.7797,-0.1525,0.5586,0.5791,0.5859,0.3120,0.6638,1.5752
22077,0.306343,0.007862,-0.7138,0.2218,0.7475,-0.0786,0.5343,0.5400,0.5494,0.3307,0.6412,1.6020
